Request_ID,Department,Start_Time,End_Time,SLA_Status,Processing_Time,Employee_ID,Priority
REQ00001,Finance,2026-06-14 03:42:00,,Breached,,E353,Low
REQ00002,Operations,2026-06-05 14:23:00,,Breached,,E424,Low
REQ00003,IT,2026-06-13 12:46:00,2026-06-13 19:32:00,Breached,406.0,E363,Low
REQ00004,HR,2026-06-27 07:40:00,,Met,,E498,High
REQ00005,Finance,2026-06-26 19:49:00,,Met,,E129,High
REQ00006,IT,2026-06-03 19:08:00,,Breached,,E256,Low
REQ00007,Finance,2026-06-21 13:35:00,,,,E309,High
REQ00008,IT,2026-06-24 04:38:00,,,,E460,Low
REQ00009,IT,2026-06-05 07:07:00,2026-06-05 15:13:00,Met,486.0,E421,Medium
REQ00010,HR,2026-06-13 10:02:00,2026-06-13 17:26:00,Met,444.0,E279,Medium
REQ00011,IT,2026-06-22 03:08:00,2026-06-22 04:51:00,,103.0,E152,Medium
REQ00012,HR,2026-06-12 04:49:00,,Met,,E174,Low
REQ00013,IT,2026-06-13 17:02:00,,Breached,,E317,Low
REQ00014,IT,2026-06-13 04:00:00,2026-06-13 09:21:00,Met,321.0,E500,Low
REQ00015,HR,2026-06-16 10:01:00,2026-06-16 16:24:00,Breached,383.0,E456,Medium
REQ00016,Operations,2026-06-11 22:19:00,2026-06-12 01:54:00,,215.0,E317,Low
REQ00017,HR,2026-06-22 17:03:00,2026-06-23 01:03:00,Breached,480.0,E450,Medium
REQ00018,Operations,2026-07-01 04:10:00,2026-07-01 10:03:00,Breached,353.0,E288,Low
REQ00019,IT,2026-06-15 18:04:00,2026-06-15 21:55:00,,231.0,E378,High
REQ00020,HR,2026-06-11 22:19:00,2026-06-11 23:49:00,,90.0,E283,Medium
REQ00021,IT,2026-06-06 05:41:00,2026-06-06 06:39:00,Met,58.0,E144,Medium
REQ00022,Operations,2026-06-14 10:12:00,,,,E450,Low
REQ00023,IT,2026-06-10 00:20:00,2026-06-10 00:41:00,Breached,21.0,E182,Low
REQ00024,Finance,2026-06-22 06:59:00,2026-06-22 08:38:00,Met,99.0,E203,Medium
REQ00025,HR,2026-06-25 23:40:00,,,,E143,High
REQ00026,HR,2026-06-14 15:10:00,2026-06-14 16:07:00,Breached,57.0,E353,Low
REQ00027,IT,2026-06-27 06:13:00,2026-06-27 09:45:00,Met,212.0,E427,Medium
REQ00028,Operations,2026-06-21 06:38:00,2026-06-21 07:42:00,Met,64.0,E365,Low
REQ00029,IT,2026-06-28 15:59:00,,,,E157,Medium
REQ00030,IT,2026-06-17 09:08:00,2026-06-17 16:43:00,Breached,455.0,E354,Medium
REQ00031,Finance,2026-06-28 20:21:00,,,,E171,Medium
REQ00032,HR,2026-06-11 20:42:00,2026-06-11 22:31:00,Breached,109.0,E197,Medium
REQ00033,Finance,2026-06-02 03:33:00,,,,E327,Medium
REQ00034,Finance,2026-06-06 18:28:00,2026-06-06 19:33:00,Breached,65.0,E296,Medium
REQ00035,Finance,2026-06-19 05:27:00,2026-06-19 07:23:00,Met,116.0,E142,Medium
REQ00036,Operations,2026-06-20 09:01:00,,Met,,E181,High
REQ00037,Finance,2026-06-05 05:10:00,2026-06-05 05:48:00,Breached,38.0,E390,High
REQ00038,HR,2026-06-06 22:26:00,2026-06-07 06:02:00,,456.0,E254,High
REQ00039,HR,2026-06-01 16:15:00,2026-06-01 17:49:00,Met,94.0,E172,Low
REQ00040,HR,2026-06-15 00:50:00,,,,E272,Low
REQ00041,HR,2026-06-16 12:40:00,,Met,,E441,Low
REQ00042,Operations,2026-06-24 00:41:00,,,,E432,High
REQ00043,HR,2026-06-23 23:45:00,2026-06-24 01:43:00,Met,118.0,E191,Medium
REQ00044,IT,2026-06-14 03:17:00,2026-06-14 10:48:00,Breached,451.0,E237,Low
REQ00045,IT,2026-06-12 08:47:00,2026-06-12 09:47:00,Breached,60.0,E175,High
REQ00046,HR,2026-06-22 07:47:00,2026-06-22 12:38:00,Met,291.0,E162,Low
REQ00047,IT,2026-06-21 01:47:00,2026-06-21 03:30:00,,103.0,E238,High
REQ00048,HR,2026-06-27 12:18:00,,Met,,E408,High
REQ00049,Operations,2026-06-13 21:36:00,2026-06-13 22:16:00,,40.0,E169,High
REQ00050,Finance,2026-06-02 15:12:00,2026-06-02 16:38:00,,86.0,E226,High
REQ00051,IT,2026-06-02 00:00:00,2026-06-02 03:40:00,Breached,220.0,E115,Medium
REQ00052,IT,2026-06-14 09:46:00,,Breached,,E438,Medium
REQ00053,IT,2026-06-11 16:49:00,2026-06-12 00:41:00,Met,472.0,E243,Low
REQ00054,HR,2026-06-24 22:56:00,2026-06-25 06:27:00,Met,451.0,E313,Low
REQ00055,Finance,2026-06-08 05:00:00,2026-06-08 05:26:00,,26.0,E371,Low
REQ00056,Operations,2026-06-08 22:44:00,,Breached,,E150,Low
REQ00057,HR,2026-06-11 18:04:00,,Breached,,E167,Low
REQ00058,Operations,2026-06-08 21:38:00,2026-06-08 22:24:00,Breached,46.0,E334,High
